house_num,house_group,year,week,location,period,mean,std,median,min,max,q25,q75,iqr,n_points,hours,pct_below_12,pct_12_to_18,pct_18_to_24,pct_above_24,pct_above_28,minutes_below_12,minutes_in_who,minutes_above_24,range,cv,extreme_cold_events,extreme_hot_events
29,active,2008,1,bedroom,night,21.180983673469388,2.3287152316663255,21.0,16.1,25.9,19.3,23.3,4.0,2450,81.66666666666667,0.0,8.653061224489795,79.6734693877551,11.673469387755102,0.0,0,3904,572,9.799999999999997,10.994367719489812,0,0
30,control,2008,1,bedroom,overall,18.834060346627687,1.6335717641914416,18.7,15.5,23.4,17.7,19.89,2.1900000000000013,4789,159.63333333333333,0.0,30.549175193150973,69.45082480684903,0.0,0.0,0,6652,0,7.899999999999999,8.673497557758113,0,0
30,control,2008,1,bedroom,day,18.81647183396866,1.862995754789344,18.7,15.5,23.4,17.1,20.2,3.099999999999998,2361,78.7,0.0,33.7992376111817,66.2007623888183,0.0,0.0,0,3126,0,7.899999999999999,9.900877121002827,0,0
30,control,2008,1,bedroom,night,18.870280082987552,1.3614714078273003,18.75,16.3,23.0,17.89,19.6,1.7100000000000009,2410,80.33333333333333,0.0,26.846473029045644,73.15352697095435,0.0,0.0,0,3526,0,6.699999999999999,7.214897721919512,0,0
1,active,2008,2,living,overall,17.42655024509804,2.4113189709155827,17.2,10.9,23.0,15.9,19.2,3.299999999999999,4896,163.2,2.062908496732026,57.78186274509803,40.15522875816993,0.0,0.0,202,3932,0,12.1,13.837041393742682,1,0
1,active,2008,2,living,day,16.572475143903716,1.8978145384329865,16.6,10.9,19.8,15.7,17.5,1.8000000000000007,1911,63.7,2.7210884353741496,74.56828885400314,22.71062271062271,0.0,0.0,104,868,0,8.9,11.451605882366394,1,0
1,active,2008,2,living,night,17.97332998324958,2.54293842323906,18.1,10.9,23.0,16.2,19.89,3.6900000000000013,2985,99.5,1.6415410385259632,47.03517587939699,51.323283082077054,0.0,0.0,98,3064,0,12.1,14.148398908877633,1,0
2,active,2008,2,living,overall,17.762595673876874,2.4792137123084905,17.89,10.9,24.9,16.1,19.7,3.599999999999998,4207,140.23333333333332,1.7827430473021155,49.67910625148562,47.825053482291416,0.7130972189208462,0.0,150,4024,60,13.999999999999998,13.957496741056968,1,0
2,active,2008,2,living,day,18.741938902743144,2.2055650520920143,18.6,10.9,24.9,17.39,20.0,2.6099999999999994,1604,53.46666666666667,0.8104738154613467,34.03990024937656,63.279301745635905,1.8703241895261846,0.0,26,2030,60,13.999999999999998,11.768073002143867,0,0
2,active,2008,2,living,night,17.147723735408558,2.4595315646001294,16.89,11.0,22.6,15.4,19.3,3.9000000000000004,2570,85.66666666666667,2.4124513618677046,59.53307392996109,38.054474708171206,0.0,0.0,124,1956,0,11.600000000000001,14.343195648302935,1,0
