house_num,week,year,hours_above_18,pct_time_above_18,max_temp,mean_temp,median_temp,min_temp,std_temp,total_hours_monitored,daytime_hours_above_18,daytime_pct_above_18,daytime_mean_temp,daytime_max_temp,longest_period_above_18_hours,num_periods_above_18,avg_period_above_18_hours,approx_date
3,2,2008,20.066666666666666,12.09321012454801,24.9,11.656629168340698,11.7,-2.0,5.0839403927571425,165.93333333333334,2.033333333333333,81.33333333333333,18.64133333333333,19.6,1.7666666666666666,12,,2008-08-22
4,2,2008,27.466666666666665,16.629667003027247,25.0,12.477033299697275,12.1,-0.9,5.31225182544132,165.16666666666666,27.366666666666667,41.78117048346056,16.20737913486005,25.0,6.533333333333333,9,3.0185185185185186,2008-08-22
5,2,2008,8.233333333333333,4.8862512363996045,20.4,11.335727002967358,11.1,0.2,3.880029452502662,168.5,8.233333333333333,11.909353905496625,14.013211186113791,20.4,3.0,8,0.9958333333333333,2008-08-22
6,2,2008,38.96666666666667,23.375324935012998,34.4,14.290701859628076,13.1,4.1,5.415199121666214,166.7,2.1,90.0,19.760714285714286,22.2,0.4,11,,2008-08-22
7,2,2008,20.0,11.945052757316345,29.4,12.936820625124428,12.0,7.3,4.073929691501675,167.43333333333334,20.0,28.24858757062147,16.03978342749529,29.4,7.5,6,3.3,2008-08-22
8,2,2008,23.9,16.01876675603217,22.9,13.612499999999999,12.7,5.5,3.804731782734163,149.2,0.16666666666666666,6.944444444444445,15.909027777777778,18.3,0.13333333333333333,11,,2008-08-22
9,2,2008,42.166666666666664,25.340544871794872,33.3,14.591065705128207,12.7,6.2,5.996635110197257,166.4,42.166666666666664,59.613572101790766,19.488312912346842,33.3,8.166666666666666,7,5.9904761904761905,2008-08-22
10,2,2008,53.36666666666667,30.79438353529525,37.9,16.039901904212346,13.7,6.2,6.903733214084993,173.3,1.9666666666666666,78.66666666666666,20.375999999999998,24.0,1.9333333333333333,9,,2008-08-22
11,2,2008,37.63333333333333,23.67372614803942,31.0,14.817330677290839,14.0,3.0,5.825773077129631,158.96666666666667,35.7,52.44857982370226,18.930607247796278,31.0,9.833333333333334,8,,2008-08-22
12,2,2008,57.13333333333333,32.967878438161186,31.7,15.752981342565878,14.3,3.8,6.832919769175352,173.3,56.03333333333333,73.24618736383442,21.38723311546841,31.7,9.433333333333334,8,7.108333333333333,2008-08-22
13,2,2008,35.4,21.223021582733814,30.3,13.506374900079935,13.2,1.4,5.986070539497107,166.8,34.03333333333333,45.196989818503766,17.53311199645861,30.3,8.3,11,3.184848484848485,2008-08-22
14,2,2008,23.4,14.156079854809436,23.7,13.876386368219398,13.6,6.5,3.628635519434276,165.3,23.266666666666666,31.526648599819328,16.36285004516712,23.7,6.133333333333334,7,3.3095238095238098,2008-08-22
15,2,2008,40.63333333333333,23.451327433628318,28.7,14.44276644863409,13.5,3.0,5.604902435375366,173.26666666666668,40.63333333333333,49.694251936404406,18.47132083163473,28.7,24.533333333333335,14,4.238095238095238,2008-08-22
16,2,2008,62.766666666666666,37.62237762237762,36.5,17.346903096903098,14.6,4.2,8.422956929537923,166.83333333333334,57.36666666666667,72.92372881355932,23.47377118644068,36.5,10.3,8,,2008-08-22
17,2,2008,61.46666666666667,36.674622116149564,34.3,17.014260143198094,14.4,3.3,7.458796339773607,167.6,57.03333333333333,71.95121951219512,22.365349032800673,34.3,10.133333333333333,10,,2008-08-22
18,2,2008,53.63333333333333,36.54326595503066,34.1,16.614967067908243,14.2,4.15,6.956409412228862,146.76666666666668,50.3,70.5799812909261,21.34840972871843,34.1,9.833333333333334,7,,2008-08-22
19,2,2008,66.83333333333333,39.97208931419458,39.0,17.94736842105263,14.6,1.9,9.767933684624905,167.2,62.4,78.45766974015088,25.356957250628668,39.0,11.2,8,,2008-08-22
20,2,2008,70.66666666666667,40.77707251394499,37.2,18.264262358145796,14.9,2.7,8.781665562258306,173.3,68.9,81.73190984578885,25.130802688809805,37.2,10.833333333333334,8,8.8,2008-08-22
21,2,2008,30.366666666666667,18.249198717948715,24.1,14.79522235576923,14.9,7.3,3.5643632171674136,166.4,30.2,37.17685679113664,16.63091916290521,24.1,8.4,11,2.727272727272727,2008-08-22
22,2,2008,30.833333333333332,18.927767546552076,24.9,15.243022304072026,15.2,8.4,3.2722665882776516,162.9,29.8,38.667820069204154,16.910964532871972,24.9,8.933333333333334,14,2.169047619047619,2008-08-22
23,2,2008,49.166666666666664,29.40003986446083,24.7,16.673320709587404,16.1,10.4,3.539787844186954,167.23333333333332,45.333333333333336,55.57825909276666,18.68022067838169,24.7,9.933333333333334,8,6.1125,2008-08-22
