house_num,week,year,house_group,recording_status,overall_mean,overall_std,overall_median,overall_is_normal,daytime_mean,daytime_std,daytime_median,daytime_is_normal,daytime_hours,nighttime_mean,nighttime_std,nighttime_median,nighttime_is_normal,nighttime_hours
23,2,2008,control,control,13.839485748455251,1.5697656669226925,14.0,False,14.458193706579486,1.5690346303937754,14.3,False,81.56666666666666,13.250389105058366,1.3249594558740208,13.4,False,85.66666666666667
24,2,2008,active,active,13.609079999999999,1.98319241729914,14.0,False,14.29116564417178,1.8128800383688966,14.3,False,81.5,12.956360078277887,1.9187677285729487,13.4,False,85.16666666666667
25,2,2008,control,control,13.44049567985448,2.0446548697444706,14.0,False,14.000227790432803,1.8700428102510736,14.0,False,73.16666666666667,12.882796187017703,2.059152270335705,13.9,False,73.43333333333334
26,2,2008,active,active,14.869767441860468,0.3693848707300455,14.9,True,14.869767441860468,0.3693848707300455,14.9,True,1.4333333333333333,,,,,
27,2,2008,active,active,13.140997543925941,2.9058631640313157,13.4,False,14.643801939058173,2.2711095767559386,14.6,False,96.26666666666667,11.336382536382537,2.5343207014237454,11.8,False,80.16666666666667
28,2,2008,control,control,12.818024791709002,2.7613509713888464,13.1,False,14.256708760852407,2.1165004142638293,14.3,False,84.46666666666667,11.290741516547968,2.5368801409911184,11.7,False,79.56666666666666
29,2,2008,active,active,13.134982738780208,2.8788125505522992,13.4,False,14.661673699015472,2.158845266664606,14.8,False,94.8,11.30295358649789,2.54712273837803,11.7,False,79.0
30,2,2008,control,control,13.272294755476876,3.077193064199445,14.1,False,14.969605475040257,2.1710146375207273,15.2,False,82.8,11.200491400491401,2.7325291561631984,11.5,False,67.83333333333333
1,1,2009,active,active,9.453382870551428,3.5110489309338297,10.6,False,11.467412935323383,2.5662855602090393,12.05,False,67.0,8.149194587628866,3.4234221008501793,8.8,False,103.46666666666667
2,1,2009,active,active,8.667213114754098,3.501759179862802,9.45,False,10.927972027972027,2.6417091947226217,11.6,False,66.73333333333333,7.2174887892376685,3.2051417114714953,6.7,False,104.06666666666666
3,1,2009,active,active,8.58125,3.4813683756177425,9.1,False,11.091044776119404,2.5401738579193784,11.9,False,67.0,6.959163987138264,3.0135756856452827,6.3,False,103.66666666666667
4,1,2009,active,active,8.984123672230654,3.4600394113931965,9.5,False,11.38278370514064,2.5066083277701026,12.1,False,68.73333333333333,7.443302180685358,3.091493621696468,7.9,False,107.0
5,1,2009,control,control,9.358281344334877,3.3198902149298433,9.6,False,11.760471204188482,2.4313481738192757,12.3,False,63.666666666666664,7.858385093167701,2.8914983534570022,8.7,False,101.96666666666667
6,1,2009,active,active,,,10.8,False,,,,,,,,10.8,False,0.03333333333333333
7,1,2009,control,control,11.415177195685668,2.922213246429311,12.1,False,13.48622754491018,2.375204551778547,13.7,False,27.833333333333332,10.433162975582055,2.630105779309206,11.3,False,58.7
8,1,2009,active,active,11.859343936381709,2.6449671509991943,12.1,False,13.817922077922077,1.9925187113627854,14.2,False,64.16666666666667,10.645088566827697,2.2404714906035994,11.1,False,103.5
9,1,2009,active,active,11.498020654044751,3.530178183631289,12.4,False,15.279078014184396,1.4980492181781941,15.8,False,9.4,10.286363636363637,3.112314774863609,11.9,False,29.333333333333332
10,1,2009,active,active,7.157070707070707,1.7886776121065373,6.5,False,,,,,,7.157070707070707,1.7886776121065373,6.5,False,13.2
11,1,2009,active,active,11.821642922097608,3.6225455794573906,12.7,False,13.371296296296297,3.0818777578834595,13.350000000000001,False,36.0,11.067417755745831,3.6268072080936538,12.5,False,73.96666666666667
12,1,2009,control,control,13.068864908073541,1.9529806323989127,13.1,False,14.28782383419689,1.5889659479924474,14.5,False,64.33333333333333,12.303545868575148,1.7622751903192508,12.7,False,102.46666666666667
13,1,2009,active,active,12.98993006993007,1.743782422083468,12.9,False,14.179182156133828,1.5745173817381775,14.2,False,44.833333333333336,12.272645739910313,1.4186844243165402,12.6,False,74.33333333333333
14,1,2009,active,active,12.575618524000845,2.117627991715749,13.0,False,14.237321937321937,1.5862877019564354,14.8,False,58.5,11.59502353732347,1.747872316512548,12.0,False,99.13333333333334
15,1,2009,active,active,13.33937877840317,1.9438313364449549,13.6,False,14.485813549507817,1.4078291334675324,14.6,False,57.56666666666667,12.694462540716613,1.9064129963382601,12.7,False,102.33333333333333
16,1,2009,control,control,12.154721837259949,2.8147326301170796,13.0,False,13.85494880546075,2.0266393267654887,14.5,False,68.36666666666666,10.992333333333333,2.6841900418839955,11.850000000000001,False,100.0
17,1,2009,control,control,12.815106340687736,2.026202704377375,12.9,False,14.151020408163266,1.6217948261048423,14.4,False,65.33333333333333,11.962487788993814,1.783713744114242,12.4,False,102.36666666666666
18,1,2009,active,active,14.256010383386583,1.6341509075443228,14.2,False,15.236342592592592,1.3949218273241302,15.6,False,72.0,13.512499999999998,1.3923968110859433,13.7,False,94.93333333333334
19,1,2009,active,active,12.00308764940239,2.8809997953778437,12.6,False,13.890821256038647,2.298719420319003,14.7,False,69.0,10.678474576271187,2.482429481936693,11.2,False,98.33333333333333
20,1,2009,active,active,11.77120272163298,3.1421068541210957,12.5,False,13.713967022308438,2.624097797848292,14.7,False,68.73333333333333,10.406303236797275,2.7309751779669957,11.1,False,97.83333333333333
21,1,2009,control,control,8.584337819387557,3.479994448146334,9.1,False,11.091044776119404,2.5401738579193784,11.9,False,67.0,6.967885787616298,3.015802164950398,6.3,False,103.9
22,1,2009,active,active,14.343984812150277,1.259917994378051,14.2,False,15.16904990403071,1.091949706577488,15.3,False,69.46666666666667,13.75513698630137,1.0183185035057614,13.7,False,97.33333333333333
23,1,2009,control,control,14.548122065727696,1.1230027573785495,14.4,False,15.251282051282052,1.0642728787433353,15.3,False,71.5,14.039770812268284,0.859265286246607,13.9,False,98.9
24,1,2009,active,active,14.329408248655112,1.4534081483243053,14.3,False,15.11780178487553,1.2600377635529498,15.4,False,70.96666666666667,13.748615916955018,1.3054216979611322,13.9,False,96.33333333333333
25,1,2009,control,control,12.437735849056605,2.3275069228894636,12.7,False,14.024697336561744,1.9702290569225533,14.7,False,68.83333333333333,11.334343434343435,1.875377763197999,11.6,False,99.0
26,1,2009,active,active,15.333648542159182,1.5056408110899324,15.0,False,16.489558232931728,1.317823500309893,16.5,False,74.7,14.419929453262787,0.8917254661318176,14.7,False,94.5
27,1,2009,active,active,15.109656695442682,1.9962085303334784,15.0,False,16.394531600179292,1.736882068783591,16.6,False,74.36666666666666,14.067272727272726,1.5312857795856405,14.6,False,91.66666666666667
28,1,2009,control,control,14.933101615211614,2.0116913316927163,15.0,False,16.130340264650286,1.9273804360214237,16.3,False,70.53333333333333,14.02018018018018,1.5409303819214515,14.5,False,92.5
29,1,2009,active,active,14.587393627547993,2.1083115584488636,14.8,False,15.74448320976886,1.9957811865948525,15.9,False,76.43333333333334,13.626086956521739,1.6712525486102072,14.0,False,92.0
30,1,2009,control,control,13.85501489572989,2.517738454976692,14.2,False,14.987308533916849,2.517350644571563,15.4,False,76.16666666666667,12.914181818181818,2.095652527461794,13.4,False,91.66666666666667
1,2,2009,active,active,11.14594651065608,3.385854351429239,12.3,False,12.610006293266206,2.5600509307867947,13.2,False,52.96666666666667,10.41826712543009,3.5088353169624322,10.5,False,106.56666666666666
2,2,2009,active,active,11.798015621701499,2.665432710533937,12.5,False,13.001294498381878,1.957597364720235,13.3,False,51.5,11.215601503759398,2.765823286744511,11.8,False,106.4
3,2,2009,active,active,12.457423339951466,2.057676878437688,13.0,False,13.500328947368422,1.4700543525858132,13.7,False,50.666666666666664,11.931297709923664,2.1107090053574127,12.5,False,100.43333333333334
4,2,2009,active,active,12.492291174575907,2.1377122919219524,13.0,False,13.496474358974359,1.7397239038680175,13.850000000000001,False,52.0,11.986470778172425,2.141103153747813,12.4,False,103.23333333333333
5,2,2009,control,control,12.619499310978412,1.9471665317908786,13.0,False,13.233876221498372,1.6865598083899829,13.6,False,51.166666666666664,12.284959205391983,1.9976816114059681,12.8,False,93.96666666666667
6,2,2009,active,active,10.18421052631579,2.7458076508302347,10.3,False,11.933939393939394,2.4084699180670106,11.9,False,55.0,9.172274798457764,2.3982942261421067,9.5,False,95.1
7,2,2009,control,control,9.308211754897874,2.9199527260950973,9.6,False,11.170128354725788,2.4475741319129747,11.8,False,57.13333333333333,8.273411154345006,2.634234045974385,9.1,False,102.8
8,2,2009,active,active,9.55674586338566,3.1764660313703796,9.6,False,10.846200241254524,2.270867301065038,11.6,False,55.266666666666666,8.857166230366492,3.3729744753908664,9.2,False,101.86666666666666
9,2,2009,active,active,10.36190376129439,3.490182687132466,10.8,False,11.657406305770374,2.7778792754088375,11.8,False,56.03333333333333,9.654385964912281,3.6339234989992613,9.6,False,102.6
10,2,2009,active,active,11.058301807482136,3.2008331070306326,11.1,False,12.471299093655588,2.834457898108192,11.9,False,55.166666666666664,10.30467289719626,3.1295827644422642,9.7,False,103.43333333333334
11,2,2009,active,active,11.124271844660193,4.125219539487126,12.0,False,13.048024948024949,3.0978665510935155,14.0,False,64.13333333333334,9.898675496688742,4.229499969348743,9.850000000000001,False,100.66666666666667
12,2,2009,control,control,10.382822986577182,4.3766635951858275,11.4,False,12.35716694772344,3.3273161390542145,12.6,False,59.3,9.207728337236535,4.502212436766288,8.5,False,99.63333333333334
13,2,2009,active,active,10.130352303523036,4.135761689308524,11.4,False,11.853911564625852,3.0409255213187394,12.4,False,58.8,9.1279261457303,4.35263183718897,8.7,False,101.1
14,2,2009,active,active,11.586340746957616,3.2501894619931626,12.8,False,13.551414842498664,2.569065099694365,14.3,False,62.43333333333333,10.3141030072589,3.002166379931053,11.1,False,96.43333333333334
15,2,2009,active,active,9.86825174825175,3.812319243996353,10.8,False,12.080099750623441,2.934687922695989,12.8,False,66.83333333333333,8.39,3.6109157985615554,8.4,False,100.0
16,2,2009,control,control,11.31642197986577,3.349432827226496,12.3,False,13.49957058507783,2.7226305888900253,14.4,False,62.1,9.916351118760756,2.940138143168716,10.0,False,96.83333333333333
